X = interesting
M = empty module
F = float
U = Unicode
S = Stupid plaf convention
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_cyrillic.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_farsi.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_greek.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_iceland.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_roman.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_romanian.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/mac_turkish.py
U 2 diff lines in ../../../../python/release25-maint/Lib/encodings/punycode.py
U 2 diff lines in ../../../../python/release25-maint/Lib/encodings/string_escape.py
U 5 diff lines in ../../../../python/release25-maint/Lib/encodings/tis_620.py
M 2 diff lines in ../../../../python/release25-maint/Lib/email/test/__init__.py
U 21 diff lines in ../../../../python/release25-maint/Lib/email/test/test_email.py
U 21 diff lines in ../../../../python/release25-maint/Lib/email/test/test_email_renamed.py
M 2 diff lines in ../../../../python/release25-maint/Lib/email/mime/__init__.py
U 2 diff lines in ../../../../python/release25-maint/Lib/ctypes/test/test_parameters.py
U 32 diff lines in ../../../../python/release25-maint/Lib/ctypes/test/test_unicode.py
M 2 diff lines in ../../../../python/release25-maint/Lib/bsddb/test/__init__.py
